date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:08	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jun%202017%2002:53:08%20GMT	http://nicolaegabriel.info/robots.txt		(from )
10:53:08	26634/26634	---M-Z	200	added ('OK')	text/html	etag:%22680a-543bcd83-a456d9921b98b12d%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/index.html	(from )
10:53:10	17780/17780	---M-Z	200	added ('OK')	text/css	etag:%224574-52837925-be8a406ee6612d0c%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/fonts/font-awesome-4.0.3/css/font-awesome.min.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/fonts/font-awesome-4.0.3/css/font-awesome.min.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:11	119962/119962	---M-Z	200	added ('OK')	text/css	etag:%221d49a-54326580-3555559e3fb101e1%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/bootstrap/css/bootstrap.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/bootstrap/css/bootstrap.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:11	1418/1418	---M-Z	200	added ('OK')	text/css	etag:%2258a-53e0d781-ef4405f460683293%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.prettycheckable/prettycheckable.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.prettycheckable/prettycheckable.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:12	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jun%202017%2002:53:11%20GMT	http://nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.tipsy/tipsy.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.tipsy/tipsy.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:12	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a47-1762a%22	http://code.jquery.com/jquery-1.11.1.min.js	D:/Web%20data/!site%20download/htmlAdmin/code.jquery.com/jquery-1.11.1.min.js	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:12	725/725	---M-Z	200	added ('OK')	text/css	etag:%222d5-543bc9c6-5d5840c6cb17e721%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.easypiechart/easypiechart.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/scripts/jquery.easypiechart/easypiechart.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:13	129760/129760	---M-Z	200	added ('OK')	text/css	etag:%221fae0-543bd456-954990b1c28c4052%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/style.css	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/style.css	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:14	26634/26634	---M-Z	200	added ('OK')	text/html	etag:%22680a-543bcd83-a456d9921b98b12d%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/index.html	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/index-2.html	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:14	2031/2031	---M--	200	added ('OK')	image/png	etag:%227ef-525e824c-d75c372f3b38fc77%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/images/logo.png	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/images/logo.png	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:15	12010/12010	---M-Z	200	added ('OK')	text/html	etag:%222eea-543bcd5f-f693b4f045bc77e4%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/ui-sliders.html	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/ui-sliders.html	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:16	5124/5124	---M--	200	added ('OK')	image/png	etag:%221404-525e824e-ddf200491c8c666d%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/images/user-img.png	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/images/user-img.png	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:16	237548/237548	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-39fec%22	http://code.jquery.com/ui/1.11.0/jquery-ui.min.js	D:/Web%20data/!site%20download/htmlAdmin/code.jquery.com/ui/1.11.0/jquery-ui.min.js	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:16	21202/21202	---M-Z	200	added ('OK')	text/html	etag:%2252d2-543bcd77-5300ebae6986b3ba%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/buttons.html	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/buttons.html	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:17	85844/85844	---M-Z	200	added ('OK')	text/html	etag:%2214f54-56e3d450-c442bca8bad9ee92%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/icons.html	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/icons.html	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
10:53:18	22591/22591	---M-Z	200	added ('OK')	text/html	etag:%22583f-543bcd5d-53f054b307c37422%22	http://nicolaegabriel.info/live/admin-easy-bootstrap/tabs-and-accordions.html	D:/Web%20data/!site%20download/htmlAdmin/nicolaegabriel.info/live/admin-easy-bootstrap/tabs-and-accordions.html	(from http://nicolaegabriel.info/live/admin-easy-bootstrap/)
